StateProvince_GBIF
Guanacaste
Heredia
Limón
Cartago
Puntarenas
Alajuela
San José
Guanacaste
Heredia
Puntarenas
Puntarenas
Puntarenas
Puntarenas
Limón
San José
San José
San José
San José
San José
San José
San José
San José
Limón
San José
Limón
Limón
San José
San José
Limón
Puntarenas
Limón
Puntarenas
San José
San José
San José
Cartago
Puntarenas
Limón
Cartago
Guanacaste
Alajuela
San José
San José
Cartago
Puntarenas
San José
Limón
San José
San José
San José
San José
San José
Limón
Puntarenas
Alajuela
Alajuela
San José
Alajuela
Puntarenas
Puntarenas
Puntarenas
Guanacaste
Guanacaste
San José
Puntarenas
San José
San José
San José
San José
San José
Puntarenas
San José
Heredia
Guanacaste
San José
Alajuela
San José
Alajuela
Puntarenas
Heredia
San José
San José
San José
Puntarenas
San José
San José
Heredia
San José
Limón
San José
Puntarenas
Limón
Alajuela
Cartago
Alajuela
Alajuela
Cartago
Cartago
San José
San José
San José
San José
Limón
Cartago
Cartago
Heredia
Cartago
San José
San José
San José
San José
Puntarenas
Guanacaste
San José
San José
Cartago
San José
Limón
Heredia
Alajuela
Heredia
Cartago
Cartago
Guanacaste
Limón
Cartago
Limón
San José
San José
Limón
Limón
Puntarenas
Cartago
Alajuela
Puntarenas
Limón
Heredia
Puntarenas
Alajuela
Alajuela
Cartago
San José
San José
Heredia
Heredia
Heredia
Cartago
Guanacaste
Puntarenas
Alajuela
Cartago
Heredia
Alajuela
San José
Cartago
Cartago
Limón
Heredia
San José
Alajuela
Cartago
Alajuela
Limón
Alajuela
Alajuela
Cartago
San José
Alajuela
Puntarenas
Puntarenas
Guanacaste
Puntarenas
Heredia
Guanacaste
Guanacaste
Guanacaste
Puntarenas
Alajuela
Alajuela
Limón
Cartago
Limón
Limón
Puntarenas
Limón
Cartago
Alajuela
Alajuela
Alajuela
San José
Limón
Guanacaste
Puntarenas
Alajuela
Guanacaste
Guanacaste
Puntarenas
Guanacaste
Guanacaste
Guanacaste
Limón
Limón
Puntarenas
Guanacaste
Guanacaste
Guanacaste
Guanacaste
Alajuela
Guanacaste
Limón
San José
Guanacaste
Guanacaste
Puntarenas
San José
San José
San José
Puntarenas
Alajuela
Puntarenas
Cartago
Alajuela
San José
San José
Puntarenas
Alajuela
Alajuela
Alajuela
Limón
Guanacaste
San José
Limón
Limón
Guanacaste
Puntarenas
Alajuela
Limón
Alajuela
San José
San José
Puntarenas
San José
Guanacaste
Guanacaste
Puntarenas
Alajuela
Guanacaste
Guanacaste
San José
San José
Cartago
Cartago
Cartago
San José
San José
Alajuela
San José
Puntarenas
Heredia
Guanacaste
Puntarenas
Puntarenas
San José
Guanacaste
Puntarenas
Limón
San José
San José
Guanacaste
Alajuela
Cartago
Cartago
Cartago
Puntarenas
Puntarenas
Limón
Puntarenas
San José
Puntarenas
San José
San José
Guanacaste
Guanacaste
Cartago
Puntarenas
Puntarenas
San José
Puntarenas
Puntarenas
San José
San José
San José
San José
Cartago
Puntarenas
Guanacaste
Cartago
San José
Puntarenas
San José
Alajuela
Puntarenas
Puntarenas
Puntarenas
San José
Guanacaste
Limón
Guanacaste
Alajuela
Puntarenas
Cartago
San José
Cartago
Puntarenas
Puntarenas
Cartago
Alajuela
Cartago
Puntarenas
Guanacaste
Cartago
Guanacaste
Cartago
San José
Cartago
San José
Heredia
San José
Guanacaste
San José
San José
Alajuela
San José
Cartago
Cartago
San José
Cartago
Cartago
San José
Guanacaste
San José
Guanacaste
San José
Puntarenas
Guanacaste
San José
Guanacaste
Guanacaste
Heredia
Puntarenas
San José
Cartago
Cartago
San José
Heredia
Alajuela
Alajuela
San José
Cartago
San José
Cartago
Cartago
Puntarenas
San José
San José
San José
San José
San José
Limón
San José
San José
Alajuela
Alajuela
San José
Alajuela
San José
Limón
Limón
Puntarenas
Heredia
Puntarenas
San José
Puntarenas
Limón
Guanacaste
San José
San José
Heredia
San José
Puntarenas
Cartago
San José
San José
San José
Puntarenas
Limón
Limón
Limón
Limón
Limón
Limón
Limón
Puntarenas
Alajuela
Guanacaste
Guanacaste
Alajuela
Cartago
Guanacaste
Guanacaste
San José
Guanacaste
Alajuela
Guanacaste
Alajuela
San José
Alajuela
Limón
Puntarenas
Puntarenas
Limón
Limón
Limón
Puntarenas
Puntarenas
Puntarenas
Limón
Puntarenas
Puntarenas
Puntarenas
Puntarenas
Limón
Limón
Limón
Limón
Limón
Limón
Limón
Limón
Limón
Limón
Puntarenas
Limón
Heredia
Puntarenas
Puntarenas
Puntarenas
Puntarenas
San José
San José
Heredia
San José
Puntarenas
Puntarenas
Guanacaste
Guanacaste
Puntarenas
Puntarenas
Puntarenas
Puntarenas
Limón
Limón
Limón
Limón
Guanacaste
Puntarenas
Alajuela
Alajuela
Limón
Puntarenas
Alajuela
Alajuela
Puntarenas
Puntarenas
Alajuela
Alajuela
Puntarenas
Cartago
Cartago
Alajuela
Limón
Puntarenas
Puntarenas
